SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,11/3/1994 00:00:00,2.7,2.75,2.675,2.71,89999.99598
HDFC.NS,D,11/7/1994 00:00:00,2.67,2.67,2.651,2.651,19999.99911
HDFC.NS,D,11/8/1994 00:00:00,2.75,2.775,2.75,2.775,69999.99687
HDFC.NS,D,11/10/1994 00:00:00,2.8,2.8,2.8,2.8,9999.999553
HDFC.NS,D,11/11/1994 00:00:00,2.75,2.775,2.75,2.7675,39999.99821
HDFC.NS,D,11/14/1994 12:00:00 AM,2.75,2.76,2.75,2.76,19999.99911
HDFC.NS,D,11/16/1994 12:00:00 AM,2.775,2.775,2.775,2.775,9999.999553
HDFC.NS,D,11/23/1994 12:00:00 AM,2.675,2.675,2.675,2.675,9999.999553
HDFC.NS,D,11/24/1994 12:00:00 AM,2.7,2.71,2.7,2.71,19999.99911
HDFC.NS,D,11/25/1994 12:00:00 AM,2.67,2.7,2.67,2.69275,59999.99732
HDFC.NS,D,11/29/1994 12:00:00 AM,2.675,2.675,2.675,2.675,9999.999553
HDFC.NS,D,11/30/1994 12:00:00 AM,2.725,2.7975,2.725,2.772,269999.9879
HDFC.NS,D,12/1/1994 00:00:00,2.725,2.725,2.725,2.725,19999.99911
HDFC.NS,D,12/2/1994 00:00:00,2.725,2.725,2.724,2.724,39999.99821
HDFC.NS,D,12/5/1994 00:00:00,2.725,2.725,2.675,2.675,519999.9768
HDFC.NS,D,12/6/1994 00:00:00,2.645,2.675,2.645,2.67,239999.9893
HDFC.NS,D,12/7/1994 00:00:00,2.6,2.6,2.6,2.6,1009999.955
HDFC.NS,D,12/8/1994 00:00:00,2.5,2.5,2.475,2.475,19999.99911
HDFC.NS,D,12/9/1994 00:00:00,2.5,2.5,2.5,2.5,29999.99866
HDFC.NS,D,12/12/1994 00:00:00,2.475,2.475,2.4,2.42525,39999.99821
HDFC.NS,D,12/13/1994 12:00:00 AM,2.4,2.4,2.342,2.348,79999.99642
HDFC.NS,D,12/14/1994 12:00:00 AM,2.39,2.41,2.39,2.41,69999.99687
HDFC.NS,D,12/15/1994 12:00:00 AM,2.425,2.45,2.425,2.445,39999.99821
HDFC.NS,D,12/16/1994 12:00:00 AM,2.5,2.5,2.5,2.5,29999.99866
HDFC.NS,D,12/19/1994 12:00:00 AM,2.55,2.575,2.55,2.555,69999.99687
HDFC.NS,D,12/20/1994 12:00:00 AM,2.575,2.597,2.55,2.55,7529999.663
HDFC.NS,D,12/21/1994 12:00:00 AM,2.57,2.575,2.57,2.57175,2529999.887
HDFC.NS,D,12/22/1994 12:00:00 AM,2.525,2.525,2.513,2.513,19999.99911
HDFC.NS,D,12/23/1994 12:00:00 AM,2.5,2.54,2.5,2.54,109999.9951
